url,status,last_check_time,last_success_time,success_streak,failure_streak,node_count
http://168.138.189.245:12580/clash/proxies,active,2025-09-01T15:14:16.960459+00:00,2025-09-01T15:14:16.960459+00:00,15,0,58
http://150.230.195.209:12580/clash/proxies,active,2025-09-01T15:14:16.960459+00:00,2025-09-01T15:14:16.960459+00:00,7,0,1
http://158.247.231.244:12580/clash/proxies,dead,2025-08-31T18:18:27.500600+00:00,,0,89,0
http://175.0.80.181:12580/clash/proxies,dead,2025-08-31T18:18:27.500600+00:00,,0,89,0
http://183.158.78.17:12580/clash/proxies,dead,2025-08-31T18:18:27.500600+00:00,,0,89,0
http://141.147.161.50:12580/clash/proxies,active,2025-09-01T15:14:16.960459+00:00,2025-09-01T15:14:16.960459+00:00,7,0,195
http://176.126.114.231:12580/clash/proxies,active,2025-09-01T15:14:16.960459+00:00,2025-09-01T15:14:16.960459+00:00,7,0,11
http://122.233.34.71:12580/clash/proxies,dead,2025-08-31T18:18:27.500600+00:00,,0,89,0
http://122.233.35.74:12580/clash/proxies,dead,2025-08-31T18:18:27.500600+00:00,,0,89,0
http://158.180.234.237:12580/clash/proxies,active,2025-09-01T15:14:16.960459+00:00,2025-09-01T15:14:16.960459+00:00,7,0,1
http://66.42.50.118:12580/clash/proxies,active,2025-09-01T15:14:16.960459+00:00,2025-09-01T15:14:16.960459+00:00,7,0,127
http://104.168.244.47:12580/clash/proxies,dead,2025-08-31T18:18:27.500600+00:00,,0,89,0
http://182.135.216.133:880/clash/proxies,dead,2025-08-31T18:18:27.500600+00:00,,0,89,0
http://61.188.84.56:8002/clash/proxies,dead,2025-08-31T18:18:27.500600+00:00,,0,89,0
http://222.208.72.212:8002/clash/proxies,dead,2025-08-31T18:18:27.500600+00:00,,0,89,0
http://182.129.223.173:8002/clash/proxies,dead,2025-08-31T18:18:27.500600+00:00,,0,89,0
http://182.141.50.64:8002/clash/proxies,dead,2025-08-31T18:18:27.500600+00:00,,0,89,0
http://222.208.72.172:8002/clash/proxies,dead,2025-08-31T18:18:27.500600+00:00,,0,89,0
http://61.188.84.155:8002/clash/proxies,dead,2025-08-31T18:18:27.500600+00:00,,0,89,0
http://182.129.223.61:8002/clash/proxies,dead,2025-08-31T18:18:27.500600+00:00,,0,89,0
http://182.141.50.11:8002/clash/proxies,dead,2025-08-31T18:18:27.500600+00:00,,0,89,0
http://61.188.84.45:8002/clash/proxies,dead,2025-08-31T18:18:27.500600+00:00,,0,89,0
http://182.129.223.109:8002/clash/proxies,dead,2025-08-31T18:18:27.500600+00:00,,0,89,0
http://222.208.72.192:8002/clash/proxies,dead,2025-08-31T18:18:27.500600+00:00,,0,89,0
http://222.208.72.230:8002/clash/proxies,dead,2025-08-31T18:18:27.500600+00:00,,0,89,0
http://154.44.24.88/clash/proxies,dead,2025-08-31T18:18:27.500600+00:00,,0,89,0
http://json.cloud94.cn:12123/clash/proxies,dead,2025-08-31T18:18:27.500600+00:00,,0,89,0
http://101.43.125.246:12123/clash/proxies,dead,2025-08-31T18:18:27.500600+00:00,,0,89,0
http://222.208.72.35:8002/clash/proxies,dead,2025-08-31T18:18:27.500600+00:00,,0,89,0
http://222.208.72.36:8002/clash/proxies,dead,2025-08-31T18:18:27.500600+00:00,,0,89,0
http://182.129.223.124:8002/clash/proxies,dead,2025-08-31T18:18:27.500600+00:00,,0,89,0
http://182.141.51.62:8002/clash/proxies,dead,2025-08-31T18:18:27.500600+00:00,,0,89,0
https://139.28.232.96/clash/proxies,dead,2025-08-31T18:18:27.500600+00:00,,0,89,0
http://61.188.84.8:8002/clash/proxies,dead,2025-08-31T18:18:27.500600+00:00,,0,89,0
http://61.188.84.5:8002/clash/proxies,dead,2025-08-31T18:18:27.500600+00:00,,0,89,0
https://proxy.crazygeeky.com/clash/proxies,dead,2025-09-01T01:18:53.557570+00:00,2025-08-12T03:46:07.572007+00:00,0,36,40
http://182.129.223.211:8002/clash/proxies,dead,2025-08-31T18:18:27.500600+00:00,,0,89,0
https://222.129.39.82:9041/clash/proxies,dead,2025-08-31T18:18:27.500600+00:00,,0,89,0
http://182.141.51.188:8002/clash/proxies,dead,2025-08-31T18:18:27.500600+00:00,,0,89,0
https://www.quain.top/clash/proxies,dead,2025-08-31T18:18:27.500600+00:00,,0,89,0
http://222.208.72.104:8002/clash/proxies,dead,2025-08-31T18:18:27.500600+00:00,,0,89,0
http://222.208.72.110:8002/clash/proxies,dead,2025-08-31T18:18:27.500600+00:00,,0,89,0
http://182.129.223.242:8002/clash/proxies,dead,2025-08-31T18:18:27.500600+00:00,,0,89,0
http://182.141.50.24:8002/clash/proxies,dead,2025-08-31T18:18:27.500600+00:00,,0,89,0
http://61.188.85.9:8002/clash/proxies,dead,2025-08-31T18:18:27.500600+00:00,,0,89,0
http://61.188.85.35:8002/clash/proxies,dead,2025-08-31T18:18:27.500600+00:00,,0,89,0
http://182.141.50.182:8002/clash/proxies,dead,2025-08-31T18:18:27.500600+00:00,,0,89,0
http://hk.dstds.top/clash/proxies,dead,2025-08-31T18:18:27.500600+00:00,,0,89,0
https://hk.dstds.top/clash/proxies,dead,2025-08-31T18:18:27.500600+00:00,,0,89,0
http://154.44.24.88:8888/clash/proxies,dead,2025-08-31T18:18:27.500600+00:00,,0,89,0
http://61.188.85.253:8002/clash/proxies,dead,2025-08-31T18:18:27.500600+00:00,,0,89,0
http://182.141.51.109:8002/clash/proxies,dead,2025-08-31T18:18:27.500600+00:00,,0,89,0
http://182.141.50.122:8002/clash/proxies,dead,2025-08-31T18:18:27.500600+00:00,,0,89,0
http://182.141.51.236:8002/clash/proxies,dead,2025-08-31T18:18:27.500600+00:00,,0,89,0
http://61.188.85.44:8002/clash/proxies,dead,2025-08-31T18:18:27.500600+00:00,,0,89,0
http://182.129.223.22:8002/clash/proxies,dead,2025-08-31T18:18:27.500600+00:00,,0,89,0
http://61.188.84.225:8002/clash/proxies,dead,2025-08-31T18:18:27.500600+00:00,,0,89,0
http://222.208.72.91:8002/clash/proxies,dead,2025-08-31T18:18:27.500600+00:00,,0,89,0
http://222.208.72.184:8002/clash/proxies,dead,2025-08-31T18:18:27.500600+00:00,,0,89,0
http://123.114.31.113:1234/clash/proxies,dead,2025-08-31T18:18:27.500600+00:00,,0,89,0
https://clash.quain.top/clash/proxies,dead,2025-08-31T18:18:27.500600+00:00,,0,89,0
http://222.208.72.209:8002/clash/proxies,dead,2025-08-31T18:18:27.500600+00:00,,0,89,0
http://182.141.50.184:8002/clash/proxies,dead,2025-08-31T18:18:27.500600+00:00,,0,89,0
http://61.188.85.156:8002/clash/proxies,dead,2025-08-31T18:18:27.500600+00:00,,0,89,0
http://61.188.84.9:8002/clash/proxies,dead,2025-08-31T18:18:27.500600+00:00,,0,89,0
http://182.141.50.50:8002/clash/proxies,dead,2025-08-31T18:18:27.500600+00:00,,0,89,0
http://222.208.72.222:8002/clash/proxies,dead,2025-08-31T18:18:27.500600+00:00,,0,89,0
http://182.141.51.212:8002/clash/proxies,dead,2025-08-31T18:18:27.500600+00:00,,0,89,0
http://222.208.72.121:8002/clash/proxies,dead,2025-08-31T18:18:27.500600+00:00,,0,89,0
http://61.188.85.167:8002/clash/proxies,dead,2025-08-31T18:18:27.500600+00:00,,0,89,0
